City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Kuching,MY,2020-10-24 00:25:14,1.55,110.33,77.0,94,20,2.24
123,Dali,CN,2020-10-24 00:25:14,25.7,100.18,49.86,88,100,2.19
124,Provideniya,RU,2020-10-24 00:25:14,64.38,-173.3,34.43,88,99,11.56
125,Cheremkhovo,RU,2020-10-24 00:25:14,53.16,103.07,32.58,95,56,0.67
126,Kavieng,PG,2020-10-24 00:25:14,-2.57,150.8,84.85,62,35,4.07
127,Caucaia,BR,2020-10-24 00:25:14,-3.74,-38.65,80.6,83,40,10.29
128,Bilibino,RU,2020-10-24 00:25:14,68.05,166.44,18.77,89,44,0.65
129,Sitka,US,2020-10-24 00:25:14,57.05,-135.33,42.8,28,1,8.05
130,Griffith,US,2020-10-24 00:25:14,41.53,-87.42,45.0,81,90,11.41
131,Fairbanks,US,2020-10-24 00:25:14,64.84,-147.72,27.0,85,75,3.36
132,Mount Isa,AU,2020-10-24 00:25:15,-20.73,139.5,82.4,58,90,10.29
133,High Level,CA,2020-10-24 00:25:15,58.52,-117.14,23.0,67,20,5.82
134,Hilo,US,2020-10-24 00:25:15,19.73,-155.09,87.8,55,20,12.75
135,Buchanan,LR,2020-10-24 00:25:15,5.88,-10.05,77.86,87,100,6.17
136,Camacari,BR,2020-10-24 00:25:15,-12.7,-38.32,78.8,83,20,12.75
137,Bubaque,GW,2020-10-24 00:25:15,11.28,-15.83,83.8,73,59,11.9
138,Catuday,PH,2020-10-24 00:25:15,16.29,119.81,79.45,81,100,4.61
139,Dudinka,RU,2020-10-24 00:25:15,69.41,86.18,-5.8,83,40,6.71
140,Te Anau,NZ,2020-10-24 00:25:15,-45.42,167.72,59.67,63,100,10.54
141,Katsuura,JP,2020-10-24 00:25:15,35.13,140.3,68.0,48,75,14.99
142,Ballina,AU,2020-10-24 00:22:58,-28.87,153.57,73.4,88,75,9.17
143,Madang,PG,2020-10-24 00:24:20,-5.22,145.8,86.81,62,41,1.07
144,Ruston,US,2020-10-24 00:21:39,32.52,-92.64,69.8,94,40,3.76
145,Hambantota,LK,2020-10-24 00:25:15,6.12,81.12,75.2,100,20,6.93
146,Varhaug,NO,2020-10-24 00:25:16,58.61,5.65,45.0,99,99,9.73
147,Radford,US,2020-10-24 00:25:16,37.13,-80.58,68.0,77,1,8.05
148,Shache,CN,2020-10-24 00:25:16,38.42,77.24,44.98,51,16,9.95
149,Mahebourg,MU,2020-10-24 00:23:07,-20.41,57.7,73.4,73,40,9.17
150,Saint-Philippe,RE,2020-10-24 00:25:16,-21.36,55.77,71.6,68,40,3.36
151,Lorengau,PG,2020-10-24 00:25:16,-2.02,147.27,85.66,61,29,5.73
152,Pochutla,MX,2020-10-24 00:25:16,15.74,-96.47,84.2,74,20,4.76
153,Lahij,YE,2020-10-24 00:25:16,13.17,44.58,76.21,56,17,1.34
154,Ondangwa,NA,2020-10-24 00:25:16,-17.92,15.95,82.4,30,36,5.82
155,Kitob,UZ,2020-10-24 00:25:16,39.08,66.83,43.66,57,52,2.13
156,Kudahuvadhoo,MV,2020-10-24 00:25:16,2.67,72.89,82.09,79,1,11.92
157,Narsaq,GL,2020-10-24 00:25:16,60.92,-46.05,26.6,79,97,2.24
158,Fort Nelson,CA,2020-10-24 00:25:16,58.81,-122.7,28.4,39,20,4.7
159,Muroto,JP,2020-10-24 00:25:16,33.28,134.15,62.6,55,20,3.36
160,Henderson,US,2020-10-24 00:24:31,36.04,-114.98,77.0,19,1,5.82
161,Pumiao,CN,2020-10-24 00:25:16,22.75,108.48,59.0,87,0,2.24
162,Yerbogachen,RU,2020-10-24 00:20:20,61.28,108.01,25.25,98,82,5.14
163,San Patricio,US,2020-10-24 00:25:17,28.02,-97.52,82.4,74,20,10.29
164,Guymon,US,2020-10-24 00:20:52,36.68,-101.48,41.0,52,1,10.29
165,Tiksi,RU,2020-10-24 00:25:17,71.69,128.87,22.5,94,90,15.77
166,Muros,ES,2020-10-24 00:25:17,42.78,-9.06,61.0,82,87,20.0
167,Apaseo El Alto,MX,2020-10-24 00:25:17,20.45,-100.62,75.2,28,40,17.22
168,Halifax,CA,2020-10-24 00:22:40,44.65,-63.57,52.0,88,39,3.0
169,Francistown,BW,2020-10-24 00:25:17,-21.17,27.51,71.44,44,0,5.86
170,Arraial Do Cabo,BR,2020-10-24 00:23:43,-22.97,-42.03,73.4,78,40,13.87
171,Aleppo,SY,2020-10-24 00:25:17,36.25,37.5,65.52,34,0,4.94
172,Brae,GB,2020-10-24 00:25:17,60.4,-1.35,48.2,81,48,12.75
173,Tasiilaq,GL,2020-10-24 00:25:17,65.61,-37.64,33.8,59,100,11.41
174,Goderich,CA,2020-10-24 00:25:17,43.75,-81.72,57.0,88,96,23.35
175,Vicuna,CL,2020-10-24 00:25:17,-30.03,-70.71,53.6,87,7,4.7
176,Peleduy,RU,2020-10-24 00:25:17,59.63,112.74,28.49,97,98,0.45
177,Yellowknife,CA,2020-10-24 00:24:01,62.46,-114.35,24.01,67,20,4.7
178,Kodiak,US,2020-10-24 00:25:17,57.79,-152.41,46.4,93,90,18.34
179,Hobyo,SO,2020-10-24 00:25:18,5.35,48.53,81.52,75,100,15.3
180,Bonavista,CA,2020-10-24 00:25:18,48.65,-53.11,39.99,88,64,1.01
181,Mezobereny,HU,2020-10-24 00:25:18,46.82,21.03,52.0,87,90,1.99
182,Ilulissat,GL,2020-10-24 00:25:18,69.22,-51.1,21.2,62,78,5.82
183,La Ronge,CA,2020-10-24 00:25:18,55.1,-105.28,23.0,67,90,8.05
184,Kyra,RU,2020-10-24 00:25:18,49.58,111.98,31.53,85,0,2.33
185,Saldanha,ZA,2020-10-24 00:25:18,-33.01,17.94,60.8,82,1,3.36
186,Klaksvik,FO,2020-10-24 00:25:18,62.23,-6.59,44.6,93,3,10.29
187,Dauphin,CA,2020-10-24 00:25:18,51.15,-100.05,24.8,73,90,13.87
188,Mudgee,AU,2020-10-24 00:25:18,-32.59,149.59,66.2,93,90,12.75
189,Luderitz,NA,2020-10-24 00:25:18,-26.65,15.16,58.5,82,0,8.7
190,Kiskunfelegyhaza,HU,2020-10-24 00:25:18,46.71,19.84,57.0,93,0,4.7
191,Marana,US,2020-10-24 00:25:18,32.44,-111.23,91.4,13,1,4.7
192,Torbay,CA,2020-10-24 00:25:18,47.67,-52.73,39.2,86,75,3.78
193,Longyearbyen,SJ,2020-10-24 00:23:13,78.22,15.64,21.2,79,75,4.7
194,Clinton,US,2020-10-24 00:25:19,42.59,-82.92,60.8,93,90,14.99
195,Piove Di Sacco,IT,2020-10-24 00:25:19,45.3,12.04,57.99,93,100,6.02
196,Jiazi,CN,2020-10-24 00:25:19,22.88,116.07,69.03,61,100,23.02
197,Jumla,NP,2020-10-24 00:25:19,29.27,82.18,43.81,61,2,4.27
198,Kununurra,AU,2020-10-24 00:25:19,-15.77,128.73,89.6,62,50,5.82
199,San Jose,US,2020-10-24 00:25:03,37.34,-121.89,71.6,56,20,11.41
200,Jasper,US,2020-10-24 00:25:19,37.2,-94.35,44.01,75,90,11.41
201,Takaka,NZ,2020-10-24 00:25:19,-40.85,172.8,66.0,58,0,5.99
202,Bay Roberts,CA,2020-10-24 00:25:19,47.6,-53.26,39.0,91,40,1.99
203,Asyut,EG,2020-10-24 00:25:19,27.18,31.18,75.2,47,0,10.29
204,Lavrentiya,RU,2020-10-24 00:25:19,65.58,-171.0,34.97,84,100,1.28
