City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Lyuban,BY,52.8,28.0,45.72,80,0,10.67,clear sky
312,Igarka,RU,67.47,86.58,-3.66,89,0,6.2,clear sky
313,Oriximina,BR,-1.77,-55.87,82.83,64,4,3.96,clear sky
314,Yumen,CN,40.28,97.2,41.72,54,100,8.97,overcast clouds
315,Brae,GB,60.4,-1.35,48.2,93,1,8.05,clear sky
316,Hata,IN,26.75,83.74,68.85,48,0,3.31,clear sky
317,Magadan,RU,59.57,150.8,35.6,76,98,9.33,overcast clouds
318,Alofi,NU,-19.06,-169.92,78.8,74,75,19.46,broken clouds
319,Mezen,RU,65.85,44.24,34.14,91,100,13.06,light rain
320,Bayir,TR,37.27,28.22,59.0,93,5,1.12,clear sky
321,Mayo,US,38.89,-76.51,57.99,100,90,1.54,mist
322,Huarmey,PE,-10.07,-78.15,64.29,81,65,8.05,broken clouds
323,Korla,CN,41.76,86.15,44.85,52,85,4.97,overcast clouds
324,Bartica,GY,6.4,-58.62,77.0,94,20,6.93,few clouds
325,Bonthe,SL,7.53,-12.51,78.35,86,15,4.32,light rain
326,Mutoko,ZW,-17.4,32.23,63.3,70,0,6.64,clear sky
327,Masagua,GT,14.2,-90.85,68.0,82,40,4.7,scattered clouds
328,Lethem,GY,3.38,-59.8,80.71,71,47,6.69,light rain
329,Victoria,HK,22.29,114.16,80.01,58,32,3.0,scattered clouds
330,Bilibino,RU,68.05,166.44,7.66,93,99,3.49,overcast clouds
331,Conde,BR,-7.26,-34.91,78.8,83,20,4.7,few clouds
332,San Rafael,AR,-34.62,-68.33,66.99,26,0,8.48,clear sky
333,Nishihara,JP,26.18,127.76,80.6,54,20,10.29,few clouds
334,Anadyr,RU,64.75,177.48,21.2,92,75,6.71,broken clouds
335,Port Pirie,AU,-33.18,138.02,64.4,68,40,13.87,scattered clouds
336,Katsuura,JP,35.13,140.3,66.99,59,75,11.41,broken clouds
337,Union,US,40.63,-74.27,59.0,93,90,1.41,mist
338,Payo,ID,-3.75,103.64,77.16,87,99,1.9,overcast clouds
339,Boa Esperanca,BR,-21.09,-45.57,68.77,80,51,1.57,broken clouds
340,Axim,GH,4.87,-2.24,77.81,87,84,5.23,broken clouds
341,Sioux Lookout,CA,50.1,-91.92,24.8,62,75,9.17,broken clouds
342,Alice Springs,AU,-23.7,133.88,77.0,17,0,8.05,clear sky
343,Bandarbeyla,SO,9.49,50.81,73.6,78,38,8.68,scattered clouds
344,Ocampo,MX,21.65,-101.5,58.51,32,49,4.9,scattered clouds
345,Levelland,US,33.59,-102.38,24.8,85,90,21.92,mist
346,Guerrero Negro,MX,27.98,-114.06,66.69,37,0,16.93,clear sky
347,Witbank,ZA,-25.87,29.23,63.57,61,46,0.85,scattered clouds
348,Paragominas,BR,-2.97,-47.48,76.03,87,64,4.97,broken clouds
349,Sur,OM,22.57,59.53,68.43,64,0,3.44,clear sky
350,Rapid Valley,US,44.06,-103.15,18.0,84,1,4.63,clear sky
351,Kaeo,NZ,-35.1,173.78,70.09,67,19,8.61,few clouds
352,Satuk,TR,41.23,32.38,54.82,79,42,1.74,scattered clouds
353,Haines Junction,CA,60.75,-137.51,32.45,93,0,5.28,clear sky
354,Mana,GF,5.66,-53.78,80.29,83,4,8.63,light rain
355,Aklavik,CA,68.22,-135.01,10.4,85,75,6.93,broken clouds
356,Valledupar,CO,10.46,-73.25,75.16,84,20,3.87,few clouds
357,Encs,HU,48.33,21.13,55.4,93,90,5.82,overcast clouds
358,Cuajinicuilapa,MX,16.47,-98.42,77.85,94,100,2.15,light rain
359,Valle De Allende,MX,26.93,-105.4,67.95,37,0,15.5,clear sky
360,Porto Santo,PT,33.07,-16.34,66.2,68,40,7.36,scattered clouds
361,Ndjole,GA,-0.18,10.76,74.5,95,100,2.08,moderate rain
362,Fortuna,US,40.6,-124.16,52.0,70,1,4.21,clear sky
363,Grand Forks,US,47.94,-97.43,19.4,67,40,12.75,scattered clouds
364,Weihe,CN,33.0,105.32,47.23,76,100,3.76,overcast clouds
365,Urusha,RU,54.05,122.9,29.61,97,100,10.63,overcast clouds
366,Calama,CL,-22.47,-68.93,59.0,19,0,11.41,clear sky
367,Jalu,LY,29.03,21.55,65.32,61,0,3.74,clear sky
368,Oktyabrskiy,RU,54.48,53.47,27.88,92,64,12.41,broken clouds
369,Nantucket,US,41.28,-70.1,57.99,93,90,4.7,mist
370,Wanxian,CN,30.8,108.39,63.61,72,100,1.25,light rain
371,Aykhal,RU,66.0,111.5,-5.8,83,100,4.61,light snow
372,Mezhevoy,RU,55.17,58.78,25.23,96,100,18.23,light snow
373,Staroshcherbinovskaya,RU,46.63,38.67,52.92,61,42,17.02,scattered clouds
374,Embu,BR,-23.65,-46.85,68.0,82,20,3.36,few clouds
375,Lagoa,PT,39.05,-27.98,67.46,86,99,13.8,light rain
376,Hare Bay,CA,48.85,-54.01,35.6,64,90,5.82,overcast clouds
377,Salina,US,38.84,-97.61,28.4,63,90,11.41,overcast clouds
378,Ust-Kuyga,RU,70.02,135.6,4.05,88,100,0.54,overcast clouds
379,Ixtapa,MX,20.7,-105.2,84.99,79,20,6.93,few clouds
380,Hornepayne,CA,49.21,-84.77,23.31,95,2,4.83,clear sky
381,Sabang,ID,5.89,95.32,82.85,72,4,17.36,light rain
382,Sobolevo,RU,54.43,31.9,43.09,91,11,11.03,few clouds
383,Kubinka,RU,55.58,36.69,42.01,80,0,6.71,light rain
384,Nampa,US,43.54,-116.56,39.2,27,1,4.63,clear sky
385,Piacabucu,BR,-10.41,-36.43,77.4,82,17,12.48,few clouds
386,Izhma,RU,65.01,53.91,19.85,95,100,6.76,overcast clouds
387,Mogadishu,SO,2.04,45.34,79.2,83,52,7.49,light rain
388,Komatsu,JP,36.4,136.45,66.2,42,75,9.17,broken clouds
389,Larap,PH,14.3,122.65,77.07,90,100,5.86,light rain
390,Richland,US,40.78,-82.55,44.6,93,90,6.93,light rain
391,Rewari,IN,28.18,76.62,64.4,63,0,3.36,smoke
392,Mehamn,NO,71.04,27.85,37.58,78,15,9.71,few clouds
393,Fuerte Olimpo,PY,-21.04,-57.87,74.41,74,97,3.04,overcast clouds
394,Los Alamos,US,35.89,-106.31,18.0,100,90,0.54,snow
395,Careiro Da Varzea,BR,-3.2,-59.81,84.2,79,20,5.82,thunderstorm
