City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Barabai,ID,79.0,light rain,-2.58,115.38,Joko Homestay
431,Mount Isa,AU,82.4,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
432,Kalmunai,LK,80.94,clear sky,7.42,81.82,VS Villa
433,Ouesso,CG,70.16,moderate rain,1.61,16.05,Hôtel ABENI
434,Maymyo,MM,78.8,broken clouds,22.03,96.47,Tiger Hotel
435,Saint-Pierre,RE,71.6,overcast clouds,-21.34,55.48,Lindsey Hôtel
437,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
438,Majene,ID,85.89,overcast clouds,-3.54,118.97,Kost Putri RABBANI
440,Weston,US,82.4,few clouds,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
441,Coahuayana,MX,75.2,broken clouds,18.73,-103.68,Hotel Los Arcos
443,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
446,Baniachang,BD,79.2,light rain,24.52,91.37,পুরাতন স্টাফ কোয়াটার
457,Juba,SS,71.6,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
459,Morros,BR,76.87,overcast clouds,-9.45,-46.3,
462,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
463,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
464,Nicoya,CR,75.2,broken clouds,10.15,-85.45,Guayacan Real
466,Mackay,AU,82.0,overcast clouds,-21.15,149.2,International Lodge Motel
467,Prado,BR,72.99,clear sky,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
473,Puerto Madero,MX,78.8,scattered clouds,14.72,-92.42,Hotel La Central
474,Hambantota,LK,78.8,broken clouds,6.12,81.12,Bungalow 63
475,Labuhan,ID,85.75,heavy intensity rain,-6.88,112.21,bador sepret
476,Porto Belo,BR,75.2,broken clouds,-27.16,-48.55,Costa Verde Beach Hotel
481,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
484,Abu Dhabi,AE,78.8,clear sky,24.47,54.37,Beach Rotana
485,Meulaboh,ID,81.64,broken clouds,4.14,96.13,Kost Pria
486,Itoman,JP,80.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
505,Gigmoto,PH,82.06,overcast clouds,13.78,124.39,Cj's Travellers Inn
506,Basco,PH,81.12,light rain,20.45,121.97,Nathaniel's Lodge
507,Gao,ML,77.41,clear sky,16.64,1.64,
513,Mandera,KE,78.19,light rain,3.94,41.87,Kornesh Hotel and Lodging
521,San Andres,CO,80.6,broken clouds,12.58,-81.7,Hotel Arena Blanca
522,La Romana,DO,77.0,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
523,Tutoia,BR,80.28,scattered clouds,-2.76,-42.27,Pousada Guará's
527,Libertador General San Martin,AR,70.57,clear sky,-23.81,-64.79,Posada del Sol
530,Puerto Ayacucho,VE,77.25,moderate rain,5.66,-67.62,Posada Turistica Manapiare
532,Labrea,BR,77.68,scattered clouds,-7.26,-64.8,Hotel Novo Horizonte
533,Nara,JP,73.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
536,Sungairaya,ID,81.75,overcast clouds,0.7,108.9,808 artel
539,Quang Ngai,VN,78.64,light rain,15.12,108.8,Central Hotel
540,Kulhudhuffushi,MV,82.76,clear sky,6.62,73.07,Haajy Guest House 1
543,Adrar,MR,83.05,clear sky,20.5,-10.07,
545,Xuddur,SO,72.37,light rain,4.12,43.89,Banjanay Hotel
549,Miri,MY,75.2,light rain,4.41,114.01,"Mega Hotel, Miri"
550,Kapit,MY,78.26,light rain,2.02,112.93,Hotel Meligai Kapit
551,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
556,Inongo,CD,70.99,overcast clouds,-1.95,18.27,Hotel Du Lac
562,Pangoa,PE,70.36,moderate rain,-12.12,-73.0,
564,Phibun Mangsahan,TH,78.01,broken clouds,15.24,105.23,ซันนี่ รีสอร์ท
